position,crown,db_horse_count,owner_count,owner_names,uma_horse_count,examples
prefix,グランド,149,8,グランド牧場 | ミホノインターナショナル | 林千枝子 | 林進 | 田畑利彦 | 社台レースホース | 高木敏盛 | 鶴本貢,32,グランドアルナイル | グランドエスケープ | グランドオーパス | グランドカリナン | グランドクォーツ
prefix,グリーン,196,7,グリーンファーム | 冷水瀧之助 | 北村キヨ子 | 半沢 | 名古屋競馬 | 岡田勇 | 西村專次,17,グリーンアンシェル | グリーンウォレス | グリーンエナジー | グリーンエリクサー | グリーンエンプレス
prefix,クリノ,603,5,栗山博 | 栗本依利子 | 栗本博晴 | 栗本守 | 栗林英雄,156,クリノアイオライト | クリノアイリス | クリノアカツキ | クリノアクアマリン | クリノアグレッシブ
prefix,クレバー,79,5,ウエスタンファーム | 小幡シサ | 岡崎牧場 | 本間充 | 田邉正明,5,クレバーキュート | クレバーテースト | クレバーナイト | クレバーバード | クレバーピコ
prefix,ケイアイ,393,5,ケイアイスタリオン | ケイアイホース | 亀田和弘 | 亀田守弘 | 啓愛義肢材料販売所,39,ケイアイアギト | ケイアイアニラ | ケイアイアマゾン | ケイアイアルタイル | ケイアイアンタレス
prefix,ケイエス,95,3,キヨシサービス | 重藤正己 | 高田喜嘉,0,
prefix,ケイツー,82,1,楠本勝美,23,ケイツーキップ | ケイツーギルダー | ケイツークルサード | ケイツークローン | ケイツーコルーニ
prefix,ゲイリー,163,6,中村浩章 | 増川菊子 | 杉田茂清 | 東京サラブレッドビューロー | 芳賀満男 | 西谷守博,0,
prefix,ケージー,121,2,丸山隆雄 | 川井五郎,0,
prefix,ケン,142,8,ケンブリッジバレー | 中西健 | 中西健造 | 中西宏彰 | 中西桂子 | 友駿ホースクラブ | 谷口貞保 | 長山善建,57,ケンアトラス | ケンアンビシャス | ケンイーサリアム | ケンエージェント | ケンオスロ
prefix,コアレス,150,2,小林昌志 | 黒崎昇,1,コアレスロング
prefix,コウエイ,154,3,伊東政清 | 柴崎十四一 | 西岡静男,8,コウエイアンカ | コウエイキズナ | コウエイスパークル | コウエイスーシェフ | コウエイダイチ
prefix,コウチ,81,2,細谷よしの | 細谷武男,0,
prefix,コウユー,90,2,加治屋康雄 | 加治屋貞光,21,コウユーアツイキミ | コウユーウィズユー | コウユーオモイノセ | コウユーカメサンヨ | コウユーダイダイ
prefix,コクサイ,91,4,国際ターフ倶楽部 | 芦部博子 | 芦部政道 | 鮫川三千男,1,コクサイルビー
prefix,コスモ,1241,9,コスモ・コスモ | ビッグレッドファーム | ブルースターズファーム | 仲田堯教 | 加藤泰章 | 岡田繁幸 | 岡田美佐子 | 望月篤 | 鈴木芳夫,181,コスモアイトーン | コスモアイビー | コスモアシュラ | コスモアチーブ | コスモアディラート
prefix,ゴッド,75,2,中西上央 | 中西憲治,30,ゴッドアイ | ゴッドアマベル | ゴッドアミーラ | ゴッドインパルス | ゴッドエスパーダ
prefix,コパノ,207,3,小林照弘 | 小林祐介 | 小林祥晃,67,コパノアダムス | コパノアトランタ | コパノアマンダ | コパノアルベール | コパノアンソニー
prefix,サウンド,152,1,増田雄一,50,サウンドアルジュナ | サウンドアレグリア | サウンドアンフィニ | サウンドイヴォーク | サウンドウイッシュ
prefix,サクラ,919,6,さくらコマース | 全尚烈 | 全演植 | 森恭彦 | 田頭勇貴 | 谷岡牧場,71,サクラJ | サクラアザレア | サクラアドリア | サクラアリュール | サクライズ
prefix,サチノ,79,3,佐藤幸彦 | 日進牧場 | 笹地牧場,3,サチノブーケ | サチノマーシー | サチノメグミ
prefix,サトノ,450,3,サトミホースカンパニー | 里見治 | 里見治紀,140,サトノアイ | サトノアイオライト | サトノアイボリー | サトノアインス | サトノアグード
prefix,サンエム,125,4,村上稔 | 松本ヒデ子 | 松本昭二 | 松本肇,0,
prefix,サンマル,162,1,相馬勇,33,サンマルウォーリア | サンマルエポック | サンマルエレガンス | サンマルエンパイア | サンマルカーラ
prefix,サンライズ,348,4,ライフハウス | 松岡 | 松岡重雄 | 松岡隆雄,85,サンライズアクター | サンライズアザール | サンライズアップ | サンライズアトム | サンライズアムール
prefix,サンライト,87,3,北川勉 | 松本博一 | 酒井祐三,1,サンライトムゲン
prefix,ジーティー,116,2,グリーンテック | 田畑利彦,91,ジーティーアイル | ジーティーアグリム | ジーティーアダマン | ジーティーアツモリ | ジーティーアムール
prefix,ジェイケイ,76,1,小谷野次郎,12,ジェイケイウルル | ジェイケイクロード | ジェイケイタルマエ | ジェイケイティアラ | ジェイケイヒロイン
prefix,シゲル,970,4,ブルアンドベア | 森中啓子 | 森中蕃 | 關美和,49,シゲルアレグリア | シゲルイワイザケ | シゲルオテンバ | シゲルオトコギ | シゲルオトヒメ
suffix,シチー,1540,1,友駿ホースクラブ,36,アルディートシチー | アルマーレシチー | アレグリアシチー | アンプレッセシチー | インテンスシチー
prefix,シマノ,143,1,嶋倉久榮,1,シマノダイヤモンド
prefix,シャイニー,87,1,小林昌志,27,シャイニーアイドル | シャイニーオーロ | シャイニーカラーズ | シャイニークイーン | シャイニーゲール
prefix,シャコー,99,2,グレイドレーシング組合 | シャコー,0,
prefix,シャドウ,101,1,飯塚知一,21,シャドウアイル | シャドウアルテミス | シャドウエリス | シャドウキャッスル | シャドウクライ
prefix,ジューン,83,1,吉川潤,47,ジューンアカデミー | ジューンアゲイン | ジューンアマデウス | ジューンアルテミス | ジューンアレグロ
prefix,ジュン,106,2,河合純二 | 河合裕明,54,ジュンアサヒソラ | ジュンアベリアシノ | ジュンインパルス | ジュンウィンダム | ジュンオルレアン
prefix,ショウナン,527,4,佐藤明 | 国本哲秀 | 国本好子 | 湘南,93,ショウナンアイバ | ショウナンアウラ | ショウナンアウリイ | ショウナンアキドン | ショウナンアキーム
prefix,ジョウノ,86,1,小川義勝,0,
prefix,ジョー,312,2,上田けい子 | 上田江吏子,42,ジョーアラビカ | ジョーアラモード | ジョーイルムシュ | ジョーインテビット | ジョーエスポワール
suffix,ジョー,91,1,河内孝夫,17,アルプスオジョー | オモカゲジョー | キングノジョー | クロジシジョー | ケンジョー
prefix,シルキー,135,3,シルク | シルクレーシング | 林進,3,シルキーガール | シルキーグリーン | シルキーヴォイス
prefix,シルク,873,6,シルク | シルクレーシング | 中山信一 | 中山信博 | 阿部善男 | 阿部幸暉,2,シルクディヴェール | シルクニードル
suffix,シロー,267,3,西山正行 | 西山牧場 | 西山真美子,0,
prefix,シロキ,98,1,小西勇,0,
prefix,シロキタ,107,2,小西勇 | 小西和子,0,
prefix,シンコウ,110,4,中西イク夫 | 安田修 | 林幸雄 | 西谷義信,1,シンコウサクラサク
prefix,シンボリ,271,2,サウスニア | シンボリ牧場,6,シンボリタイプ | シンボリックレルム | シンボリノエル | シンボリビーノ | シンボリフラッシュ
suffix,シンボリ,82,2,シンボリ牧場 | 和田共弘,0,
prefix,スイート,349,6,キャロットファーム | シンボリ牧場 | ミルファーム | 和田共弘 | 和田啓子 | 谷田元彦,18,スイートアマレット | スイートゥンビター | スイートウィル | スイートエデン | スイートオレンジ
prefix,スカイ,100,10,シルクレーシング | スカイツリーレーシング | ヒダカ・ブリーダーズ・ユニオン | 小島俊治 | 小林久義 | 李俊満 | 江賦晨 | 海野勝男 | 社台レースホース | 金成吉田牧場,57,スカイアクセル | スカイアクロス | スカイイズユアーズ | スカイインパルス | スカイウィンザー
prefix,スガノ,106,6,菅原元秀 | 菅原光博 | 菅原光太郎 | 菅原富美子 | 菅野久三郎 | 菅野多美子,0,
prefix,スギノ,136,7,下村健造 | 杉山忠国 | 杉山美惠 | 杉山茂夫 | 杉木邦彦 | 杉江義夫 | 杉浦宗一郎,7,スギノグローアップ | スギノダイナミック | スギノバベル | スギノプリンセス | スギノペガサス
prefix,スズ,429,11,サン・ファーム | スズ | 小紫嘉之 | 小紫惠美子 | 小紫芳夫 | 森達郎 | 永井昌良 | 鈴木与四郎 | 鈴木俊作 | 鈴木武二 | 阿部雅子,46,スズアンジー | スズオリーブ | スズカキング | スズカコテキタイ | スズカコーズ
prefix,スズカ,461,7,今井八重子 | 小紫芳夫 | 永井商事 | 永井啓弍 | 永井宏明 | 永井康郎 | 永井永一,24,スズカキング | スズカコテキタイ | スズカコーズ | スズカゴウケツ | スズカゴーディー
suffix,スズカ,94,1,永井啓弍,0,
prefix,スズノ,140,6,小紫嘉之 | 小紫惠美子 | 小紫芳夫 | 新木鈴子 | 鈴木俊作 | 阿部雅子,15,スズノアイスマン | スズノアムール | スズノアリマール | スズノイナズマ | スズノグレイス
prefix,スター,126,15,キャロットファーム | ゴールドレーシング | サンデーレーシング | シルクレーシング | ジョイ・レースホース | ヒダカ・ブリーダーズ・ユニオン | ホースマン | 友駿ホースクラブ | 吉田勝己 | 吉田照哉 | 岡田牧雄 | 田頭勇貴 | 社台レースホース | 門野重雄 | 高橋一恵,124,スターアイズ | スターアイセーラ | スターアイランド | スターアスコット | スターアドミラル
prefix,ストロング,89,4,新木正夫 | 新木鈴子 | 村木篤 | 熊坂富寿雄,13,ストロングアイ | ストロングウィル | ストロングエース | ストロングカレント | ストロングジェット
prefix,スナーク,249,3,杉本仙次郎 | 杉本豊 | 架谷外茂次,18,スナークオーロラ | スナークサファイア | スナークサンダー | スナークシャラク | スナークシュンソウ
prefix,スピード,142,4,スピードファーム | 佐藤和子 | 市川不動産 | 市川幸助,8,スピードイエロー | スピードオブライト | スピードスター | スピードスターミ | スピードソルジャー
prefix,スプリング,205,3,加藤春夫 | 吉田照哉 | 社台レースホース,10,スプリングカム | スプリングデイ | スプリングドリーム | スプリングネージュ | スプリングノヴァ
prefix,スマート,373,4,グランド牧場 | トニー倶楽部 | 大川徹 | 岡田牧雄,115,スマートアイ | スマートアクシオン | スマートアシェル | スマートアマレット | スマートアメトリン
prefix,スリー,440,2,永井商事 | 永井昌良,46,スリーアイランド | スリーウエーブ | スリーエクスプレス | スリーエクセレント | スリーオウギ
prefix,セイ,113,9,キャロットファーム | ヒダカ・ブリーダーズ・ユニオン | ミルファーム | 友駿ホースクラブ | 吉田勝己 | 木村秀規 | 社台レースホース | 角田哲男 | 金田成基,153,セイイーグル | セイウォリアー | セイウンアインス | セイウンアズール | セイウンアーテル
prefix,セイウン,297,5,成田隆好 | 西山正行 | 西山牧場 | 西山茂行 | 角田哲男,61,セイウンアインス | セイウンアズール | セイウンアーテル | セイウンウィズミー | セイウンエンプレス
prefix,セイカ,132,2,久米大 | 久米誠,13,セイカアビイロード | セイカアーナンダイ | セイカエイレーネー | セイカスサノオ | セイカティターニア
prefix,ゼット,82,2,フォーレスト | 林儀信,21,ゼットエイト | ゼットエール | ゼットカレン | ゼットクイン | ゼットサンダー
prefix,セト,95,2,難波澄子 | 難波経雄,1,セトノダイヤモンド
prefix,セノエ,85,1,一條市郎,0,
prefix,セフティ,126,1,池田實,0,
prefix,セルリアン,77,1,イクタ,8,セルリアンゲーゲン | セルリアンコバルト | セルリアンジャガー | セルリアンドロップ | セルリアンミナギル
prefix,センター,250,2,中野優 | 水上行雄,4,センターアイランド | センターコーク | センタースリール | センタービット
prefix,セント,365,7,友駿ホースクラブ | 大宮国際 | 杉谷枡夫 | 西山正行 | 西山牧場 | 西山茂行 | 鋤元節夫,21,セントアイヴス | セントアイヴスベイ | セントイライアス | セントオブシン | セントオブメイ
prefix,ゼンノ,188,2,大迫久美子 | 大迫忍,16,ゼンノアマテラス | ゼンノインヴォーク | ゼンノエヴェック | ゼンノクレバー | ゼンノグリッター
suffix,テソーロ,345,2,了徳寺健二 | 了徳寺健二ホールディングス,166,アイオロステソーロ | アイガーテソーロ | アウリガテソーロ | アカポネタテソーロ | アスキステソーロ
prefix,ダービー,158,4,ダービー社 | 東京軽種馬 | 松尾博隆 | 荒木一平太,0,
prefix,ターフ,91,1,ターフ・スポート,2,ターフインワン | ターフクリスタル
suffix,ターフ,117,2,ターフ・スポート | 佐藤重治,2,サトノスカイターフ | ホワイトターフ
prefix,ダイイチ,166,2,上田光子 | 辻本春雄,0,
prefix,タイキ,485,2,名鯛興業 | 大樹ファーム,36,タイキアベンチュラ | タイキアロハ | タイキインドラ | タイキウルトラ | タイキエクセロン
prefix,ダイゴ,100,6,川井五郎 | 竹村万里子 | 竹村正一 | 竹村眞枝 | 金田至弘 | 長谷川光司,5,ダイゴショウリュウ | ダイゴシンリュウ | ダイゴセイリュウ | ダイゴホマレリュウ | ダイゴリュウジン
prefix,ダイシン,118,3,大八木信行 | 大八木秀子 | 高橋金次,25,ダイシンアキラ | ダイシンアポロン | ダイシンアレス | ダイシンウィット | ダイシンオリーブ
prefix,タイセイ,405,3,田中成奉 | 高浦正雄 | 高浦清,132,タイセイアキュート | タイセイアゲイン | タイセイアストロ | タイセイアズーロ | タイセイアダマス
prefix,ダイタク,153,4,中村和子 | 中村雅一 | 太陽ファーム | 小林昌志,1,ダイタクロノス
prefix,ダイナ,387,3,吉田照哉 | 日本ダイナースクラブ | 社台レースホース,10,ダイナスティシチー | ダイナソーコー | ダイナマイク | ダイナマイトガンモ | ダイナマイトブル
suffix,ダイナ,95,1,社台レースホース,1,オーケーダイナ
prefix,ダイメイ,81,2,宮本孝一 | 宮本昇,24,ダイメイアイ | ダイメイイチョウ | ダイメイイースター | ダイメイオトヒメ | ダイメイクマモト
prefix,ダイワ,737,5,ダイワ | 大和商事 | 大城敬三 | 大城正一 | 田中清,1,ダイワミラクル
prefix,タカイチ,87,6,森伊三男 | 高昭牧場 | 高木秀男 | 高木競走馬育成牧場 | 高木高彦 | 高橋勉,42,タカイチアスコット | タカイチアメリカン | タカイチイチロウ | タカイチカレン | タカイチキズナ
prefix,タガノ,683,4,八木一雄 | 八木昌司 | 八木秀之 | 八木良司,96,タガノアイゼン | タガノアウル | タガノアキレア | タガノアニマシオン | タガノアバンドーネ
prefix,タカラ,118,5,原田さち子 | 宝夢 | 村山りょう一 | 村山義男 | 村山輝雄,10,タカラアーサー | タカラエイティ | タカラクロロック | タカラチーター | タカラネイビー
prefix,タケデン,194,3,武市伝一 | 武市弘 | 武市進吾,1,タケデンプリンセス
prefix,タケノ,122,9,大沢良丈 | 大沢静枝 | 大竹浩 | 武井忠徳 | 武岡嘉一 | 武岡大佶 | 武岡敏夫 | 武岡雅子 | 竹原孝昭,20,タケノイタダキ | タケノエイコウ | タケノエビス | タケノオーカン | タケノガマダス
prefix,タニノ,398,4,カントリー牧場 | 大谷富士夫 | 谷水初子 | 谷水雄三,2,タニノシェクハンド | タニノタビト
prefix,ダノン,396,1,ダノックス,133,ダノンアクション | ダノンアスコルティ | ダノンアトラス | ダノンアルプス | ダノンアルム
prefix,タマ,111,5,小玉洋子 | 小玉知己 | 玉井政夫 | 玉井鶴枝 | 飯島和吉,86,タマエスポワール | タマカヅラ | タマコイファルコン | タマコロリン | タマゴ
prefix,タマモ,586,3,タマモ | 三野道夫 | 大社義規,70,タマモアオゾラ | タマモアマルフィ | タマモアルタイル | タマモイカロス | タマモイットウセイ
prefix,タヤス,253,4,中村篤 | 横瀬俊三 | 横瀬兼二 | 横瀬寛一,5,タヤスアメリカン | タヤスゴールド | タヤスソーレ | タヤスロレンヌ | タヤスロンドン
prefix,ダンツ,382,2,山元タキ | 山元哲二,29,ダンツアトム | ダンツアバロン | ダンツアラーム | ダンツイノーバ | ダンツウルス
prefix,チアズ,131,1,北村キヨ子,0,
prefix,チェリー,162,5,チエリー商事 | ヒダカ・ブリーダーズ・ユニオン | 八木國啓 | 櫻井倶楽部 | 櫻井悦朗,21,チェリーアトラス | チェリーウラノス | チェリーエスポワ | チェリーオリオン | チェリーシンガー
prefix,チョウ,80,1,丸山隆雄,25,チョウウマクイク | チョウカンセイ | チョウガンバレ | チョウギャル | チョウゲンキ
prefix,ツクバ,95,4,久松金一 | 細谷昭夫 | 細谷武史 | 荻原昭二,10,ツクバアプローズ | ツクバアヴァロン | ツクバキセキ | ツクバクロオー | ツクバスマイリー
prefix,ツジノ,89,2,辻俊夫 | 辻本正男,0,
prefix,ツルマル,125,2,鶴田任男 | 鶴田鈴子,10,ツルマルオーソ | ツルマルクックー | ツルマルケンタッキ | ツルマルゲッコー | ツルマルタイヨー
prefix,ディア,160,7,キャロットファーム | サンデーレーシング | ディアレスト | ディアレストクラブ | ライオンレースホース | 寺田千代乃 | 高樽さゆり,43,ディアアズール | ディアアリーチェ | ディアイライザ | ディアウス | ディアギレフ
prefix,ディー,103,4,サンデーレーシング | ノースヒルズ | 勝又久一郎 | 秋谷壽之,69,ディーエスエンスー | ディーエスエール | ディーエスショウマ | ディーエスソフィア | ディーエストッキー
prefix,テイエム,1076,2,寺内正光 | 竹園正繼,121,テイエムアイラン | テイエムアタック | テイエムアトム | テイエムアトラス | テイエムアルプス
